id,name,description,price,original_price,discount,offer
122,WEBER,Adhesivo Porcelanato Piso/Muro Superficie Rígida 25Kg,$ 9.370,,,False
123,TOPEX,Adhesivo Cerámico Piso/Muro Superficie Rígida 25Kg,$ 2.805,,,False
124,BAUKER,Lijadora de banda eléctrica 920W,$ 65.990,,,False
125,BAUKER,Kit para compresor 8 piezas,$ 41.990,,,False
126,BAUKER,Pulidora para auto 110 W,$ 39.990,$ 56.041,-29%,True
127,REDLINE,Maleta para herramientas 21x75x33,$ 61.990,,,False
128,STIHL,Motosierra 2 tiempos MS210 16" 2_2 HP 35_2 cc,$ 309.990,,,False
129,UBERMANN,Pistola de calor elétrcia 1800W,$ 74.990,,,False
130,REDLINE,Banco de trabajo plegable madera 63x56x77_5 cm gris,$ 23.990,,,False
131,HELA,Espátula acero flexible 60 mm,$ 2.990,,,False
132,REDLINE,Cortador de tubos Plateado,$ 13.990,,,False
133,BAUKER,Desbrozadora a combustión 1_8 HP 53cc,$ 199.990,,,False
134,BAUKER,Rotomartillo eléctrico 1500W 5.0 J,$ 149.990,,,False
135,UBERMANN,Martillo carpintero 16 Oz acero,$ 23.387,,,False
136,BAUKER,Rotomartillo eléctrico 1050W 3.0 J,$ 86.990,,,False
137,BAUKER,Pistola para pintar 400 W,$ 39.990,,,False
138,BAUKER,Pistola para pintar 650 W,$ 68.990,,,False
139,BAUKER,Lijadora roto orbital eléctrica 300W,$ 54.990,,,False
140,UBERMANN,Rotomartillo SDS plus eléctrico 800W 3.0 J,$ 139.990,,,False
141,BAUKER,Cortadora de pasto eléctrica 1600 W,$ 129.990,,,False
142,BAUKER,Motosierra combustión 45 cc,$ 129.990,,,False
143,BAUKER,Compresor de aire portátil 2 HP 25 litros,$ 185.990,,,False
144,COMMAND,Tiras para Colgar Cuadros Command Multipack Blancas 14 pares,$ 10.990,,,False
145,BOSCH,Detector de materiales 200 mm,$ 699.990,,,False
146,TRAMONTINA,Azadón mango litros de acero negro,$ 21.990,,,False
147,REDLINE,Guante profesional cabritilla,$ 1.740,,,False
148,TRAMONTINA,Pala redonda punta huevo,$ 7.390,,,False
149,BAUKER,Batería recargable 18V 4_0 Ah,$ 61.990,,,False
150,TOPEX,Adhesivo cerámico piso/muro superficie rígido 25k,$ 2.805,,,False
151,DREMEL,Dremel Herramientas Multipropósito 175W + 39 Accesorios,$ 139.990,,,False
152,PLASMET,Rastrillo acero 40 cm,$ 17.990,,,False
153,INDURA,Electrodo 6011 3/32" 1 kg,$ 6.990,,,False
154,KOLOR,Rodillo anti-goteo 23 cm,$ 5.378,,,False
155,DEWALT,Taladro inalámbrico percutor 10 mm 12V + 2 baterías,$ 129.990,,,False
156,TESA,Protector de superficies plástico 4x5 m,$ 3.990,,,False
157,TOPEX,Cinta para enmascarar 24 mm 40 m,$ 1.986,,,False
158,BAUKER,Esmeril de banco eléctrico 6" 200 W,$ 49.990,,,False
159,REDLINE,Prensa rápida 18 pulgadas,$ 5.090,,,False
160,HELA,Espátula acero flexible 80 mm,$ 3.990,,,False
161,BAUKER,Kit de puntas y dados 28 piezas,$ 20.990,,,False
162,KOLOR,Set de pintura 9 piezas,$ 20.990,,,False
163,BOSCH,Medidor de distacia láser 40m,$ 95.890,,,False
164,FG TOOLS,Chuzo 1"x1_6 m acero,$ 20.990,,,False
165,UBERMANN,Maleta para herramientas 41.5x32.5x18 cm,$ 31.990,,,False
166,REDLINE,Escofina 28 cm metal,$ 10.490,,,False
167,REDLINE,Pasacable 20 metros,$ 6.490,,,False
168,INDURA,Compresor de aire portátil 2 HP 50 L,$ 289.990,,,False
169,DVP,4mmx2.10mx5.80m Alveolar / Transparente,$ 68.790,,,False
170,LIZCAL,Rodillo chiporro 5x18 cm,$ 6.290,,,False
171,BAUKER,Atornillador de impacto inalámbrico 18V + 2 baterías,$ 129.990,,,False
172,REDLINE,Cautín hacha 200 W.,$ 35.990,,,False
173,STIHL,Desmalezadora 2 tiempos FS120 1_8 HP 30_8 cc,$ 459.990,,,False
174,ISESA,Lija para madera 9"x11'' grano 120,$ 210,,,False
175,BOSCH,Demoledor eléctrico 1100W 7.5 J,$ 599.990,,,False
176,BLACK+DECKER,Lijadora orbital eléctrica 200W,$ 26.690,,,False
177,STANLEY,Set de formones acero 3 unidades,$ 18.879,,,False
178,BAUKER,Generador eléctrico a gasolina 1100W,$ 223.994,,,False
179,LERNEN,Cepillo eléctrico carpintería 82mm 800W,$ 39.990,$ 59.990,-33%,True
180,UBERMANN,Kit 2 baterías recargables 20V + cargador - Generación Brushless,$ 155.988,,,False
181,REDLINE,Detector de voltaje,$ 12.990,,,False
182,UBERMANN,Crimpeadora pelacables 9_2x2_5x20_8 cm,$ 19.990,,,False
183,REDLINE,Organizador 16 Tipo Panal,$ 11.990,,,False
184,UBERMANN,Organizador de herramientas 26 bolsillos,$ 30.190,,,False
185,BAUKER,Set de puntas Phillips 6 unidades,$ 5.790,,,False
186,LIZCAL,Rodillo de fibra termofusionado 0_6x18 cm,$ 3.585,,,False
187,MAKITA,Esmeril angular eléctrico 4_5" 840W,$ 89.990,,,False
188,BAUKER,Cortadora de pasto a gasolina 140 cc 50 cm,$ 399.990,,,False
189,REDLINE,Caja herramientas 31x20x8 cm,$ 6.290,,,False
190,MAS ECONOMICA,Brocha mas económica 2 pulgada,$ 2.390,,,False
191,STIHL,Motosierra 2 tiempos MS310 20" 4_5 HP 59 cc,$ 599.990,,,False
192,BAUKER,Motosierra combustión 49 cc,$ 149.990,,,False
193,WEBER,Adhesivo Cerámico/Porcelanato Superficie Piso Sobre Piso 25 kg,$ 13.990,,,False
194,REDLINE,Multímetro digital rango manual,$ 19.990,,,False
195,UBERMANN,Caja de herramientas 19" 50x19x39,$ 37.990,,,False
196,KARSON,Diablito 15" acero inoxidable,$ 4.990,,,False
197,,Rodillo cortagota 18 cm + regalo escurridor pintura,$ 3.990,,,False
198,INCHALAM,Clavo Corriente 4"_ bolsa 2_5kgs,$ 4.117,,,False
199,UBERMANN,Sierra mármol eléctrica 1400W,$ 68.990,,,False
200,UBERMANN,Pasacable 4 mm 15 m acero,$ 9.190,,,False
201,BOSCH,Sierra de Banco Eléctrica 254 mm 1800 W GTS 254,$ 372.990,,,False
202,MAMUT,Autoperforante hexagonal con golilla 12X2 1/2 100 unidades,$ 15.090,,,False
203,MAX SHINE,Maquina Pulidora Doble Acción D/a Maxshine M8 Pro,$ 249.990,,,False
204,SOGA,Bidón doméstico 20 litros plástico,$ 10.990,,,False
205,BAUKER,Taladro inalámbrico percutor 13 mm 18V sin batería,$ 51.990,,,False
206,MAKITA,Tronzadora Makita M2401b - 2.000 W 3800 Rpm,$ 199.990,$ 249.990,-20%,True
207,BAUKER,Cortadora de pasto eléctrica 1400 W,$ 99.990,,,False
208,BAHCO,SET DADOS/LLAVES MIXTO 94 PZS,$ 212.990,,,False
209,STANLEY,Sierra circular eléctrica 7 1/4" 1600W,$ 53.890,,,False
210,BAUKER,Set de brocas 13 unidades,$ 12.990,,,False
211,BAUKER,Taladro percutor eléctrico 13 mm 1050W,$ 67.990,,,False
212,LERNEN,Motosierra Podadora Eléctrica 12 Pulgadas + 2 Baterías,$ 84.990,$ 109.990,-23%,True
213,UBERMANN,Taladro inalámbrico percutor 13 mm 20V + 2 baterías,$ 189.990,,,False
214,UBERMANN,Rebajadora eléctrica 1300W,$ 181.993,,,False
215,REDLINE,Llave inglesa 10" acero,$ 19.118,,,False
216,GENERICO,Equipo De Pintura Airless Pulverizador Motor Reforzado Alta Presión 1800w,$ 259.990,$ 489.990,-47%,True
217,REDLINE,Diablito 24" acero inoxidable,$ 17.990,,,False
218,DVP,5.8m x 4 a 6mm Perfil Policarbonato H Traslúcido,$ 17.990,,,False
219,WEBER,Adhesivo Cerámico Piso/Muro Superficie Rígida 25Kg,$ 2.910,,,False
220,BAUKER,Pistola para pintar 500 W,$ 59.990,,,False
221,BAUKER,Motosierra eléctrica 2200W,$ 119.990,,,False
222,LERNEN,Maletín de 246 puntas de taladro_ brocas y dados,$ 49.990,,,False
223,BAUKER,Set cajas de herramientas 14" + 22",$ 29.990,,,False
224,DEWALT,Sierra circular inalámbrica 7 1/4" 20V sin batería,$ 219.990,,,False
225,BAUKER,Pistola de calor eléctrica 2000W,$ 61.990,,,False
226,UBERMANN,Taladro inalámbrico atornillador 13 mm 20V + 2 baterías,$ 170.990,,,False
227,BAUKER,Orilladora eléctrica 1000 W,$ 79.990,,,False
228,UBERMANN,Carro porta herramientas 2 en 1 34x40x64,$ 90.986,,,False
229,MAKITA,Rotomartillo eléctrico 850W 6.3 J,$ 588.990,,,False
230,GENERICO,Camara Endoscopia De 5 Metros Para Android Y Pc Linterna,$ 15.990,,,False
231,TOTAL TOOLS,Pistola De Silicona Electrica 220w Total,$ 18.990,$ 29.200,-35%,True
232,MAKITA,Atornillador eléctrico 570W,$ 86.990,,,False
233,GILI,Barrehojas 22 dientes metal,$ 5.290,,,False
234,TOTAL TOOLS,Engrasadora Grasera Neumatica 30l,$ 206.990,$ 317.400,-35%,True
235,UBERMANN,Esmeril angular inalámbrico 4_5" 20V sin batería,$ 119.990,,,False
236,DEWALT,Set de discos de corte 4_5" óxido de aluminio 5 unidades,$ 4.990,,,False
237,BAUKER,Pulidora eléctrica 1300W,$ 84.990,,,False
238,BOSCH,Taladro inalámbrico percutor 13mm 18V + atornillador impacto + 2 bat,$ 239.990,,,False
239,REDLINE,Lima plana 6 pulgadas acero,$ 3.995,,,False
240,REDLINE,Guante multiflex poliéster látex liviano power lite,$ 1.590,,,False
241,REDLINE,Guante cuero supervisor con textil executive negro,$ 7.790,,,False
242,BAUKER,Fresadora Eléctrica 550W 1/4",$ 88.990,,,False
243,BAHCO,Set de llaves chicharra 3 unidades,$ 45.990,,,False
244,UBERMANN,Engrapadora neumáctica,$ 53.990,,,False
245,UBERMANN,Portapapeles 37.5x25.5x4.2cm,$ 15.990,,,False
246,DEPER,Betonera 130 litros 0_5 HP,$ 338.130,,,False
247,BOSCH,Regla de medición hasta 5m para nivel óptico,$ 63.690,$ 76.390,,False
248,LERNEN,Medidor De Distancia Laser Digital 40m Con Accesorios,$ 18.990,$ 29.990,-37%,True
249,REDLINE,Plataforma de trabajo aluminio,$ 39.990,,,False
250,POULAN,Cortacesped 675,$ 509.990,,,False
251,REDLINE,Caja de herramientas 23x25x36,$ 35.990,,,False
252,LERNEN,Sierra caladora eléctrica 400W,$ 32.990,,,False
253,TOPEX,Cinta para enmascarar 48 mm 40 m,$ 3.411,,,False
254,MAS ECONOMICA,Brocha mas económica 3 pulgada,$ 2.990,,,False
255,BOSCH,Nivel laser GCL 2-15,$ 139.990,$ 164.990,,False
256,DVP,4mmx1.05mx2.90m Alveolar / Transparente,$ 17.390,,,False
257,REDLINE,Cortador de tubos PVC,$ 7.390,,,False
258,DEWALT,Llave de impacto 1/2" ATOMIC COMPACT SERIES 20V S/Batería,$ 173.990,$ 219.990,-21%,True
259,REDLINE,Sierra de punta 12 pulgadas,$ 9.301,,,False
260,BOSCH,Broca para cerámica 80 mm 6 mm,$ 8.917,,,False
261,HELA,Llana acero templado 300x180 mm,$ 8.890,,,False
262,REDLINE,Combo con mango 64 Oz acero,$ 20.990,,,False
263,BOSCH,Nivel láser lineal 360° 80 metros verde bluethoot,$ 879.990,,,False
264,REDLINE,Pack 4 pares guantes multiflex multiuso látex amarillo negro,$ 4.360,,,False
265,REDLINE,Napoleón 18 pulgadas acero,$ 22.942,,,False
266,REDLINE,Cautin tipo lapiz 30/60W,$ 15.990,,,False
267,UBERMANN,Guía corte sierra circular 1 m,$ 16.890,,,False
268,WEBER,Adhesivo Porcelanato Piso/Muro Superficie Rígida 25 Kg,$ 57.990,,,False
269,STIHL,Orilladora 2 tiempos FS38 0_9 HP 27_2 cc,$ 249.990,,,False
270,KLEIN TOOLS,Pelacables automático alambre sólido/tren,$ 35.990,,,False
271,BLACK+DECKER,Taladro inalámbrico rotación 10 mm 8V + 1 batería,$ 32.990,,,False
272,UBERMANN,Taladro percutor eléctrico 13 mm 710W,$ 58.990,$ 73.990,-20%,True
273,LIOI,Pala punta de huevo acero,$ 12.590,,,False
274,STANLEY,Taladro inalámbrico percutor 13 mm 20V + 2 baterías,$ 157.990,,,False
275,UBERMANN,Pie de metro 6" plástico negro,$ 21.990,,,False
276,REDLINE,Guante cuero supervisor_ femme executive morado blanco,$ 9.490,,,False
277,LIZCAL,Rodillo chiporro 5x23 cm,$ 7.171,,,False
278,ERGO,Hacha mango fibra de vidrio 3 1/2 lb,$ 21.990,,,False
279,REDLINE,Maleta para herramientas 13x27x37,$ 17.990,,,False
280,BOSCH,Disco flap metal 115 mm,$ 4.190,,,False
281,BAUKER,Disco corte inoxidable 115x1 mm,$ 990,,,False
282,TRAMONTINA,Horqueta curva mango largo 5 dientes Negro,$ 17.990,,,False
283,KUANGYE,Mesa Router Fresadora Profecional Carpintería Protección,$ 48.390,$ 120.975,-60%,True
284,UBERMANN,Taladro inalámbrico percutor 13 mm 20V sin batería,$ 113.990,,,False
285,BAUKER,Atornillador 4V fijo blist USB,$ 13.990,,,False
286,GENERICO,Elevador de Paneles de Placa Yeso H3.35m Bryo,$ 345.000,,,False
287,LIZCAL,Pack 3 Protectores Plásticos Alta Resistencia. 2_5m x 2m. Total 15 m2,$ 4.990,,,False
288,FIXSER,Autoperforante hexagonal con golilla 12X1 1/2 100 unidades,$ 9.990,,,False
289,DEWALT,Batería recargable 20V 5.0 Ah,$ 118.990,,,False
290,CONDOR,Brocha multipropósito 5/8"x3",$ 5.510,,,False
291,INDURA,Electrodo 7018 3/32" 5 kg,$ 37.746,,,False
292,BAUKER,Caja de herramientas 20" 50x24x25,$ 29.689,,,False
293,TOPEX,Cinta para enmascarar 36 mm 40 m,$ 2.781,,,False
294,BOSCH,Nivel láser verde 2 lineas 15m y puntos 10m,$ 325.990,,,False
295,REDLINE,Pack 6 pares guantes multiflex amarillo negro palma látex,$ 6.863,,,False
296,TOTAL TOOLS,Kit Atornillador Rotomartillo Galletera Esmeril 20v Total,$ 219.990,$ 336.600,-35%,True
297,MAKITA,Taladro Inalámbrico Percutor 13 mm 18V + 2 Baterías,$ 299.990,,,False
298,BLACK+DECKER,Orilladora eléctrica 350 Watts GL350,$ 30.190,,,False
299,FISKARS,Hacha Power X™27 Fiskars,$ 99.990,,,False
300,DE TODO Y MAS,Medidor Remarcador De Agua Con Terminales De Conexión 34 Acero,$ 13.990,$ 16.080,,False
301,HELA,Raspador de pintura acero 21_7x6_4x1_8 cm,$ 8.990,,,False
302,INCHALAM,Grapa galvanizada 1" 1 kg,$ 6.490,,,False
303,HUSQVARNA,Motosierra Husqvarna 61 Espada 20",$ 509.990,$ 559.990,,False
304,STANLEY,Set 3 lapices carpintero rojo_ azul y grafito,$ 3.990,,,False
305,REDLINE,Llave inglesa 8" acero,$ 16.569,,,False
306,HENKEL,Adhesivo de montaje Agorex 370 gr,$ 5.950,,,False
307,REDLINE,Engrapadora Mini 10 mm,$ 12.095,,,False
308,TOTAL TOOLS,Taladro Atornillador Inalambrico 12v 2 bateria,$ 43.990,$ 67.500,-35%,True
309,BAUKER,Disco de sierra circular 7 1/4" 60 dientes,$ 20.293,,,False
310,UBERMANN,Micrometro mediano externa 0-25 mm,$ 12.742,,,False
311,DEWALT,Disco de corte metal delgado 4" óxido de aluminio,$ 1.290,,,False
312,DE TODO Y MAS,Adaptador Motosierra Para Esmeril Angular O Galletero,$ 15.990,$ 17.990,,False
313,TOPEX,Espuma poliuretano topex 750ml,$ 13.990,,,False
314,BAUKER,Batería recargable 12V 1_3 Ah,$ 20.990,,,False
315,NAPPO,Orilladora Bordeadora Inalambrica NAPPO a Gasolina 1200w NAPPO,$ 74.990,$ 129.990,-42%,True
316,BAUKER,Caja de herramientas 24" 26x31x61,$ 35.087,,,False
317,UBERMANN,Martillo carpintero 20 Oz acero,$ 19.789,,,False
318,REDLINE,Serrucho con caja 300 mm acero,$ 13.990,,,False
319,RHEEM,Tineta multiproposito sin tapa Sodimac,$ 5.990,,,False
320,UBERMANN,Rotomartillo SDS plus eléctrico 1500W 5.0 J,$ 205.387,,,False
321,M & H,Electrodo 6011 3/32" 1 kg,$ 6.641,,,False
322,STANLEY JR,Lijadora de muro y techo STANLEY SW75B2C 750w,$ 240.990,$ 364.998,-34%,True
323,DEWALT,Llave De Impacto 1/2 Atomic 20v Dewalt 1BAT 5AH DCF922P1,$ 329.990,$ 389.990,,False
324,STANLEY,Engrapadora 3x26x19 cm,$ 37.493,,,False
325,AUTOSTYLE,Manómetro tipo lápiz acero,$ 2.290,,,False
326,LIZCAL,Protector para pintar plástico 2_5x4 m,$ 3.990,,,False
327,HUSQVARNA,Orilladora 321C,$ 219.990,,,False
328,REX,Pack cinta de enmascarar topex 36 mm,$ 4.990,,,False
329,REHAU,Máquina para cortar tapacantos,$ 19.990,,,False
330,HUSQVARNA,Motocultivador Husqvarna Tf545De Diesel,$ 1.999.990,$ 2.145.990,,False
331,INCHALAM,Grapa galvanizada 3/4" 500 gr,$ 3.690,,,False
332,PROVIDUS,Soplete dual 1980° Bronce,$ 46.990,,,False
